"Ltot","mII/mI"
100.,0.06060606060606061
125.89254117941661,0.06666666666666667
158.48931924611142,0.08333333333333333
199.5262314968879,0.09090909090909091
251.1886431509582,0.125
316.2277660168379,0.14285714285714285
398.1071705534969,0.14285714285714285
501.18723362727246,0.16666666666666666
630.957344480193,0.2
794.3282347242822,0.16666666666666666
1000.,0.16666666666666666
1258.9254117941662,nan
1584.8931924611143,nan
1995.2623149688789,nan
2511.8864315095825,nan
3162.2776601683795,nan
3981.0717055349696,nan
5011.872336272725,nan
6309.57344480193,nan
7943.282347242822,nan
10000.,nan
